time,v_est,CdA_est,accel_bias,power_pred,acceleration_measured,velocity_measured,power_measured
2025-06-01 15:47:05.504,5.679443359375,0.26416778564453125,1.890655517578125,248.546875,2.278982609916487,6.708888888888889,77
2025-06-01 15:47:05.514,5.6834716796875,0.2641410827636719,1.890533447265625,248.546875,2.2874531578114072,6.708888888888889,77
2025-06-01 15:47:05.524,5.687255859375,0.26412200927734375,1.890533447265625,248.546875,2.2955502859261485,6.708888888888889,77
2025-06-01 15:47:05.534,5.691162109375,0.2641181945800781,1.890533447265625,248.546875,2.3032619609580443,6.708888888888889,77
2025-06-01 15:47:05.545,5.6953125,0.2640800476074219,1.890533447265625,248.546875,2.310577294648523,6.708888888888889,77
2025-06-01 15:47:05.554,5.6993408203125,0.2640571594238281,1.89044189453125,248.546875,2.317486345152092,6.708888888888889,77
2025-06-01 15:47:05.564,5.703369140625,0.2640419006347656,1.890472412109375,248.546875,2.323979883494259,6.708888888888889,77
2025-06-01 15:47:05.574,5.707763671875,0.264007568359375,1.890350341796875,248.546875,2.3300490616883462,6.708888888888889,77
2025-06-01 15:47:05.584,5.7119140625,0.2639961242675781,1.89007568359375,248.546875,2.3356850654908907,6.708888888888889,77
2025-06-01 15:47:05.595,5.7156982421875,0.26397705078125,1.889862060546875,248.546875,2.340878864356839,6.708888888888889,77
2025-06-01 15:47:05.604,5.7196044921875,0.26395416259765625,1.889801025390625,248.546875,2.345621054523033,6.708888888888889,77
2025-06-01 15:47:05.614,5.72412109375,0.2639503479003906,1.88983154296875,248.546875,2.3499017313874893,6.708888888888889,77
2025-06-01 15:47:05.624,5.7283935546875,0.26392364501953125,1.889801025390625,248.546875,2.3537103852488044,6.708888888888889,77
2025-06-01 15:47:05.634,5.7330322265625,0.2639274597167969,1.889862060546875,248.546875,2.3570358704140286,6.708888888888889,77
2025-06-01 15:47:05.645,5.7371826171875,0.2639312744140625,1.889739990234375,248.546875,2.3598664494961192,6.708888888888889,77
2025-06-01 15:47:05.654,5.7415771484375,0.2639198303222656,1.889678955078125,248.546875,2.3621898391193588,6.708888888888889,77
2025-06-01 15:47:05.664,5.7457275390625,0.26390838623046875,1.88946533203125,248.546875,2.3639932419675347,6.708888888888889,77
2025-06-01 15:47:05.674,5.7501220703125,0.2638969421386719,1.889312744140625,248.546875,2.365263482433823,6.708888888888889,77
2025-06-01 15:47:05.684,5.7545166015625,0.26386260986328125,1.889068603515625,248.546875,2.3659873459355043,6.708888888888889,77
2025-06-01 15:47:05.695,5.758544921875,0.2638282775878906,1.888885498046875,248.546875,2.3661520471192445,6.708888888888889,77
