time,WindAD,Wind (m/s),Speed,X (m/s^2),Y (m/s^2),Z (m/s^2),G (m/s^2),meta_stance,meta_speed_mph,meta_direction,position_lat,position_long,heart_rate,cadence,distance,power,enhanced_speed,enhanced_altitude
2025-05-11T11:05:01.000000,390,1.6406368,5.796421,-10.93940568,1.31576625,6.730905870000001,12.91150017,up,13,EW,38.539602,-121.7840757,134,81,474.24,76,5.85,17.6
2025-05-11T11:05:02.000000,393,1.7747488,5.865392,-9.76883724,-0.36314658000000005,2.33080695,10.04960925,up,13,EW,38.5396038,-121.7841404,134,80,480.14,58,5.896944444444444,17.6
2025-05-11T11:05:03.000000,385,1.430528,5.855267,-8.9540775,-0.48933261000000006,1.6015217400000001,9.10933056,up,13,EW,38.5396043,-121.7842081,133,80,486.05,38,5.916111111111111,17.6
2025-05-11T11:05:04.000000,383,1.3500608,5.907717,-17.22722328,2.89677528,7.853719230000001,19.15331868,up,13,EW,38.5396045,-121.7842741,133,81,492.0,46,5.943888888888889,17.6
2025-05-11T11:05:05.000000,381,1.2785343999999998,5.946028,-12.573555480000001,2.56057677,6.98626998,14.610229200000001,up,13,EW,38.5396061,-121.7843419,133,81,497.95,48,5.953055555555556,17.6
2025-05-11T11:05:06.000000,383,1.3500608,5.987384,-6.4613172599999995,-0.8038314000000001,4.72103307,8.042561730000001,up,13,EW,38.5396074,-121.7844105,133,81,503.91,39,5.961944444444445,17.6
2025-05-11T11:05:07.000000,388,1.5512288,5.920264,-14.91812586,1.35333855,6.08215095,16.167086010000002,up,13,EW,38.5396088,-121.784479,133,81,509.87,37,5.953055555555556,17.6
2025-05-11T11:05:08.000000,390,1.6406368,5.894131,-8.81442234,3.8136178800000002,3.9215475,10.37381994,up,13,EW,38.5396093,-121.7845473,133,81,515.78,49,5.9061111111111115,17.4
2025-05-11T11:05:09.000000,387,1.5109952,5.916733,-7.68247587,0.00104967,7.32860955,10.61739243,up,13,EW,38.5396096,-121.784616,133,81,521.69,57,5.916111111111111,17.4
2025-05-11T11:05:10.000000,385,1.430528,5.840234,-7.01575884,2.12079447,5.116807710000001,8.93870523,up,13,EW,38.5396137,-121.7846828,134,80,527.57,72,5.878055555555556,17.4
2025-05-11T11:05:11.000000,381,1.2785343999999998,5.87496,-11.61809091,3.40541397,4.52119356,12.923546850000001,up,13,EW,38.5396113,-121.7847513,134,83,533.49,74,5.925,17.4
2025-05-11T11:05:12.000000,381,1.2785343999999998,5.915867,-8.49573468,-1.52218827,2.7719332199999998,9.06521499,up,13,EW,38.5396089,-121.7848203,133,81,539.44,76,5.943888888888889,17.4
2025-05-11T11:05:13.000000,390,1.6406368,5.908887,-6.350091480000001,0.31808925000000005,4.3144772399999995,7.68372174,up,13,EW,38.5396093,-121.784889,133,81,545.36,62,5.925,17.2
2025-05-11T11:05:14.000000,388,1.5512288,5.788365,-4.9951146600000005,2.31718086,1.6341498,5.74377462,up,13,EW,38.5396138,-121.7849562,133,80,551.24,50,5.878055555555556,17.2
2025-05-11T11:05:15.000000,392,1.7255744,5.800361,-10.49752404,1.00635885,4.520153700000001,11.473550370000002,up,13,EW,38.5396195,-121.7850221,134,81,557.12,60,5.878055555555556,17.2
2025-05-11T11:05:17.000000,417,3.1516319999999998,5.835134,-6.80649192,0.5375291400000001,3.3480843300000003,7.60440789,up,13,EW,38.5396256,-121.7851588,134,81,569.02,53,5.953055555555556,17.2
2025-05-11T11:05:18.000000,416,3.0801056,5.981243,-7.84608705,0.78721326,4.81638627,9.240039,up,13,EW,38.5396278,-121.7852303,134,82,575.03,42,6.008888888888889,17.2
2025-05-11T11:05:19.000000,399,2.0653248,5.971363,-9.94666311,0.31854051,3.8381723100000005,10.66626585,up,13,EW,38.5396288,-121.7852966,134,82,581.0,25,5.9719444444444445,17.2
2025-05-11T11:05:20.000000,394,1.8194528,5.854245,-1.91317563,3.7836777600000002,2.23021521,4.790644830000001,up,13,EW,38.5396306,-121.7853595,134,80,586.87,22,5.868888888888889,17.2
2025-05-11T11:05:21.000000,383,1.3500608,5.673346,-7.466322330000001,2.34277515,3.92633478,8.75504241,up,13,EW,38.5396283,-121.7854269,134,80,592.7,56,5.831944444444445,17.2
2025-05-11T11:05:22.000000,396,1.9178016,5.79416,-9.966273300000001,-0.8328690000000001,2.27152512,10.25573697,up,13,EW,38.5396262,-121.7854944,133,80,598.55,75,5.85,17.2
2025-05-11T11:05:23.000000,408,2.57048,5.780296,-5.291798490000001,-0.12753,2.57808762,5.88777561,up,13,EW,38.5396281,-121.7855628,133,81,604.39,88,5.831944444444445,17.2
2025-05-11T11:05:24.000000,405,2.391664,5.840419,-14.229257850000002,-2.1948894,3.04376832,14.71577499,up,13,EW,38.5396294,-121.7856335,132,81,610.27,87,5.888055555555556,17.2
2025-05-11T11:05:25.000000,408,2.57048,5.86229,-7.14150342,-0.92447478,3.25738107,7.9035540300000005,up,13,EW,38.5396306,-121.7857012,132,80,616.2,78,5.925,17.0
2025-05-11T11:05:26.000000,408,2.57048,5.860244,-14.50752831,0.93555027,5.39134056,15.50516607,up,13,EW,38.5396319,-121.7857716,133,81,622.1,97,5.896944444444444,17.0
2025-05-11T11:05:27.000000,398,2.0161504,5.88372,-17.11885221,4.92461019,7.268739120000001,19.23905808,up,13,EW,38.5396317,-121.7858384,133,82,628.04,99,5.933888888888888,17.0
2025-05-11T11:05:28.000000,403,2.2799039999999997,5.956064,-9.13820139,2.38139712,6.55950555,11.49803613,up,13,EW,38.5396315,-121.7859033,133,81,633.96,97,5.933888888888888,17.0
2025-05-11T11:05:29.000000,397,1.966976,5.952241,-5.1877634399999994,-1.01473659,2.24203626,5.7418911,up,13,EW,38.5396302,-121.7859735,134,81,639.9,90,5.933888888888888,17.0
2025-05-11T11:05:30.000000,411,2.7537664,5.976745,-8.77834116,-1.09631655,4.308944400000001,9.840136320000001,up,13,EW,38.5396293,-121.7860451,134,82,645.87,71,5.9719444444444445,17.0
2025-05-11T11:05:31.000000,407,2.5078944,5.975505,-6.92220087,2.58676947,2.65113288,7.85091357,up,13,EW,38.5396304,-121.7861138,134,82,651.87,83,6.000000000000001,17.2
2025-05-11T11:05:32.000000,396,1.9178016,5.97275,-5.714069940000001,-0.69410655,0.7318260000000001,5.80240899,up,13,EW,38.5396341,-121.7861834,135,81,657.84,82,5.9719444444444445,17.2
2025-05-11T11:05:33.000000,397,1.966976,6.025258,-6.737037120000001,1.4876080200000001,3.7094356800000003,7.833304620000001,up,13,EW,38.5396364,-121.7862509,135,83,663.86,79,6.018055555555556,17.2
2025-05-11T11:05:34.000000,401,2.1726144,5.960841,-6.317159310000001,0.66896352,1.75001571,6.589131750000001,up,13,EW,38.5396367,-121.7863183,135,82,669.86,94,6.000000000000001,17.2
2025-05-11T11:05:35.000000,398,2.0161504,5.969066,-8.56908405,2.1914460900000003,3.2488463700000003,9.422661960000001,up,13,EW,38.5396382,-121.7863851,135,82,675.86,77,5.99,17.2
2025-05-11T11:05:36.000000,415,3.0130496,5.969274,-6.74767116,-1.7428249800000002,1.61693325,7.154226990000001,up,13,EW,38.5396407,-121.7864534,135,82,681.8,94,5.953055555555556,17.2
2025-05-11T11:05:37.000000,408,2.57048,5.915767,-9.82122264,-1.3940500500000002,5.60030337,11.391372,up,13,EW,38.5396426,-121.7865237,135,81,687.71,77,5.896944444444444,17.2
2025-05-11T11:05:38.000000,398,2.0161504,5.857533,-4.71744261,1.63833867,2.8518651000000004,5.75078877,up,13,EW,38.5396426,-121.7865935,136,81,693.59,90,5.888055555555556,17.2
